season,team_name_raw,canonical_team_name,seed,region,offensive_efficiency,defensive_efficiency,efficiency_margin,kenpom_rank,bart_torvik_rank,ap_top12_flag,public_pick_pct,conference,recent_form,strength_of_schedule
2026,Colgate,Colgate,15,South,94.4,111.8,-17.4,170,167,0,0.000,Patriot,W5,54.5
2026,Kennesaw St,Kennesaw St,16,South,93.3,113.7,-20.4,202,200,0,0.000,ASUN,W3,51.8
2026,Connecticut,Connecticut,1,Midwest,121.3,90.7,30.6,4,5,1,0.18,Big East,W9,81.9
2026,Marquette,Marquette,2,Midwest,116.8,94.1,22.7,10,9,1,0.06,Big East,W8,79.2
2026,Purdue,Purdue,3,Midwest,113.9,96.1,17.8,18,16,0,0.025,Big Ten,W6,78.8
2026,Creighton,Creighton,4,Midwest,110.7,98.3,12.4,25,24,0,0.010,Big East,W6,75.9
2026,Utah St,Utah St,5,Midwest,107.6,100.4,7.2,34,33,0,0.005,Mountain West,W5,73.4
2026,Texas Tech,Texas Tech,6,Midwest,105.8,102.2,3.6,44,42,0,0.002,Big 12,W4,71.1
2026,Florida Atlantic,Florida Atlantic,7,Midwest,104.1,104.0,0.1,56,54,0,0.001,American Athletic,W4,69.8
2026,Cincinnati,Cincinnati,8,Midwest,102.4,105.2,-2.8,69,67,0,0.001,Big 12,W3,68.0
2026,Nebraska,Nebraska,9,Midwest,100.2,106.8,-6.6,82,80,0,0.001,Big Ten,W2,66.7
2026,Clemson,Clemson,10,Midwest,98.8,108.1,-9.3,92,94,0,0.001,ACC,W3,65.8
2026,Bradley,Bradley,11,Midwest,97.9,108.5,-10.6,104,102,0,0.000,Missouri Valley,W4,63.7
2026,Richmond,Richmond,12,Midwest,96.7,109.3,-12.6,116,118,0,0.000,Atlantic 10,W4,62.4
2026,Furman,Furman,13,Midwest,95.8,110.2,-14.4,132,134,0,0.000,Southern,W4,58.7
2026,Oral Roberts,Oral Roberts,14,Midwest,94.6,111.1,-16.5,152,154,0,0.000,Summit League,W5,56.9
2026,UNCW,UNCW,15,Midwest,93.9,112.3,-18.4,172,170,0,0.000,Colonial,W4,54.2
2026,Wagner,Wagner,16,Midwest,92.8,114.2,-21.4,204,202,0,0.000,NEC,W3,51.1
