year,round,round_name,winning_seed,losing_seed,matchup,upset,winning_team,losing_team
1985,2,Round of 32,3,6,3_vs_6,0,1228,1208
1985,2,Round of 32,5,13,5_vs_13,0,1268,1298
1985,2,Round of 32,2,7,2_vs_7,0,1272,1412
1985,2,Round of 32,3,11,3_vs_11,0,1301,1431
1985,2,Round of 32,8,1,1_vs_8,1,1437,1276
1985,3,Sweet 16,1,4,1_vs_4,0,1207,1260
1985,3,Sweet 16,2,3,2_vs_3,0,1210,1228
1985,3,Sweet 16,2,11,2_vs_11,0,1272,1130
1985,3,Sweet 16,1,5,1_vs_5,0,1328,1256
1985,3,Sweet 16,3,7,3_vs_7,0,1301,1104
1985,3,Sweet 16,2,11,2_vs_11,0,1314,1120
1985,3,Sweet 16,1,12,1_vs_12,0,1385,1246
1985,3,Sweet 16,8,5,5_vs_8,1,1437,1268
1985,4,Elite 8,1,2,1_vs_2,0,1207,1210
1985,4,Elite 8,2,1,1_vs_2,1,1272,1328
1985,4,Elite 8,1,3,1_vs_3,0,1385,1301
1985,4,Elite 8,8,2,2_vs_8,1,1437,1314
1985,5,Final Four,1,1,1_vs_1,0,1207,1385
1985,5,Final Four,8,2,2_vs_8,1,1437,1272
1985,6,Championship,8,1,1_vs_8,1,1437,1207
1986,1,Round of 64,7,10,7_vs_10,0,1133,1431
1986,1,Round of 64,12,5,5_vs_12,1,1177,1438
1986,1,Round of 64,1,16,1_vs_16,0,1181,1290
1986,1,Round of 64,4,13,4_vs_13,0,1207,1403
1986,1,Round of 64,2,15,2_vs_15,0,1210,1265
1986,1,Round of 64,1,16,1_vs_16,0,1242,1299
1986,1,Round of 64,2,15,2_vs_15,0,1257,1180
1986,1,Round of 64,11,6,6_vs_11,1,1261,1345
1986,1,Round of 64,3,14,3_vs_14,0,1272,1123
1986,1,Round of 64,5,12,5_vs_12,0,1277,1449
1986,1,Round of 64,3,14,3_vs_14,0,1314,1428
1986,1,Round of 64,4,13,4_vs_13,0,1328,1318
1986,1,Round of 64,8,9,8_vs_9,0,1330,1452
1986,1,Round of 64,9,8,8_vs_9,0,1396,1239
1986,1,Round of 64,6,11,6_vs_11,0,1412,1281
1986,1,Round of 64,10,7,7_vs_10,1,1437,1439
1986,1,Round of 64,5,12,5_vs_12,0,1104,1462
1986,1,Round of 64,14,3,3_vs_14,1,1114,1323
1986,1,Round of 64,8,9,8_vs_9,0,1120,1112
1986,1,Round of 64,14,3,3_vs_14,1,1156,1231
1986,1,Round of 64,4,13,4_vs_13,0,1228,1193
1986,1,Round of 64,7,10,7_vs_10,0,1235,1275
1986,1,Round of 64,1,16,1_vs_16,0,1246,1172
1986,1,Round of 64,5,12,5_vs_12,0,1268,1337
1986,1,Round of 64,2,15,2_vs_15,0,1276,1103
1986,1,Round of 64,7,10,7_vs_10,0,1298,1409
1986,1,Round of 64,6,11,6_vs_11,0,1301,1234
1986,1,Round of 64,1,16,1_vs_16,0,1385,1286
1986,1,Round of 64,6,11,6_vs_11,0,1386,1350
1986,1,Round of 64,2,15,2_vs_15,0,1393,1135
1986,1,Round of 64,4,13,4_vs_13,0,1424,1419
1986,1,Round of 64,8,9,8_vs_9,0,1443,1304
1986,2,Round of 32,12,4,4_vs_12,1,1177,1328
1986,2,Round of 32,1,8,1_vs_8,0,1181,1330
1986,2,Round of 32,2,10,2_vs_10,0,1210,1437
1986,2,Round of 32,1,9,1_vs_9,0,1242,1396
1986,2,Round of 32,2,7,2_vs_7,0,1257,1133
1986,2,Round of 32,11,3,3_vs_11,1,1261,1272
1986,2,Round of 32,5,4,4_vs_5,1,1277,1207
1986,2,Round of 32,3,6,3_vs_6,0,1314,1412
1986,2,Round of 32,5,4,4_vs_5,1,1104,1228
1986,2,Round of 32,8,1,1_vs_8,1,1120,1385
1986,2,Round of 32,14,6,6_vs_14,1,1156,1386
1986,2,Round of 32,7,2,2_vs_7,1,1235,1276
1986,2,Round of 32,1,8,1_vs_8,0,1246,1443
1986,2,Round of 32,7,2,2_vs_7,1,1298,1393
1986,2,Round of 32,6,14,6_vs_14,0,1301,1114
1986,2,Round of 32,4,5,4_vs_5,0,1424,1268
1986,3,Sweet 16,8,4,4_vs_8,1,1120,1424
1986,3,Sweet 16,1,5,1_vs_5,0,1246,1104
1986,3,Sweet 16,2,3,2_vs_3,0,1257,1314
1986,3,Sweet 16,11,2,2_vs_11,1,1261,1210
1986,3,Sweet 16,1,12,1_vs_12,0,1181,1177
1986,3,Sweet 16,1,5,1_vs_5,0,1242,1277
1986,3,Sweet 16,7,14,7_vs_14,0,1298,1156
1986,3,Sweet 16,6,7,6_vs_7,0,1301,1235
1986,4,Elite 8,2,8,2_vs_8,0,1257,1120
1986,4,Elite 8,11,1,1_vs_11,1,1261,1246
1986,4,Elite 8,1,7,1_vs_7,0,1181,1298
1986,4,Elite 8,1,6,1_vs_6,0,1242,1301
1986,5,Final Four,1,1,1_vs_1,0,1181,1242
1986,5,Final Four,2,11,2_vs_11,0,1257,1261
1986,6,Championship,2,1,1_vs_2,1,1257,1181
1987,1,Round of 64,2,15,2_vs_15,0,1104,1299
1987,1,Round of 64,8,9,8_vs_9,0,1120,1360
1987,1,Round of 64,14,3,3_vs_14,1,1122,1228
1987,1,Round of 64,5,12,5_vs_12,0,1181,1401
1987,1,Round of 64,1,16,1_vs_16,0,1231,1193
1987,1,Round of 64,9,8,8_vs_9,0,1243,1208
1987,1,Round of 64,9,8,8_vs_9,0,1276,1298
1987,1,Round of 64,7,10,7_vs_10,0,1309,1140
1987,1,Round of 64,1,16,1_vs_16,0,1314,1335
1987,1,Round of 64,5,12,5_vs_12,0,1323,1292
1987,1,Round of 64,6,11,6_vs_11,0,1344,1412
1987,1,Round of 64,4,13,4_vs_13,0,1395,1267
1987,1,Round of 64,4,13,4_vs_13,0,1417,1141
1987,1,Round of 64,1,16,1_vs_16,0,1424,1226
1987,1,Round of 64,12,5,5_vs_12,1,1461,1438
1987,1,Round of 64,13,4,4_vs_13,1,1462,1281
1987,1,Round of 64,3,14,3_vs_14,0,1177,1256
1987,1,Round of 64,6,11,6_vs_11,0,1196,1301
1987,1,Round of 64,1,16,1_vs_16,0,1207,1137
1987,1,Round of 64,2,15,2_vs_15,0,1234,1365
1987,1,Round of 64,5,12,5_vs_12,0,1242,1222
1987,1,Round of 64,10,7,7_vs_10,1,1261,1210
1987,1,Round of 64,13,4,4_vs_13,1,1283,1155
1987,1,Round of 64,9,8,8_vs_9,0,1326,1246
1987,1,Round of 64,6,11,6_vs_11,0,1328,1409
1987,1,Round of 64,3,14,3_vs_14,0,1338,1265
1987,1,Round of 64,3,14,3_vs_14,0,1345,1318
1987,1,Round of 64,6,11,6_vs_11,0,1385,1455
1987,1,Round of 64,2,15,2_vs_15,0,1393,1204
1987,1,Round of 64,2,15,2_vs_15,0,1396,1380
1987,1,Round of 64,7,10,7_vs_10,0,1431,1112
1987,1,Round of 64,10,7,7_vs_10,1,1443,1452
1987,2,Round of 32,2,7,2_vs_7,0,1104,1309
1987,2,Round of 32,5,13,5_vs_13,0,1181,1462
1987,2,Round of 32,1,8,1_vs_8,0,1231,1120
1987,2,Round of 32,1,9,1_vs_9,0,1314,1276
1987,2,Round of 32,5,4,4_vs_5,1,1323,1395
1987,2,Round of 32,6,14,6_vs_14,0,1344,1122
1987,2,Round of 32,1,9,1_vs_9,0,1424,1243
1987,2,Round of 32,12,4,4_vs_12,1,1461,1417
1987,2,Round of 32,3,6,3_vs_6,0,1177,1385
1987,2,Round of 32,6,3,3_vs_6,1,1196,1345
1987,2,Round of 32,1,9,1_vs_9,0,1207,1326
1987,2,Round of 32,2,7,2_vs_7,0,1234,1431
1987,2,Round of 32,5,13,5_vs_13,0,1242,1283
1987,2,Round of 32,10,2,2_vs_10,1,1261,1396
1987,2,Round of 32,6,3,3_vs_6,1,1328,1338
1987,2,Round of 32,2,10,2_vs_10,0,1393,1443
1987,3,Sweet 16,1,5,1_vs_5,0,1207,1242
1987,3,Sweet 16,1,5,1_vs_5,0,1314,1323
1987,3,Sweet 16,6,2,2_vs_6,1,1344,1104
1987,3,Sweet 16,2,6,2_vs_6,0,1393,1196
1987,3,Sweet 16,1,5,1_vs_5,0,1231,1181
1987,3,Sweet 16,2,6,2_vs_6,0,1234,1328
1987,3,Sweet 16,10,3,3_vs_10,1,1261,1177
1987,3,Sweet 16,1,12,1_vs_12,0,1424,1461
1987,4,Elite 8,6,1,1_vs_6,1,1344,1207
1987,4,Elite 8,2,1,1_vs_2,1,1393,1314
1987,4,Elite 8,1,10,1_vs_10,0,1231,1261
1987,4,Elite 8,1,2,1_vs_2,0,1424,1234
1987,5,Final Four,1,1,1_vs_1,0,1231,1424
1987,5,Final Four,2,6,2_vs_6,0,1393,1344
1987,6,Championship,1,2,1_vs_2,0,1231,1393
1988,1,Round of 64,8,9,8_vs_9,0,1120,1133
1988,1,Round of 64,4,13,4_vs_13,0,1140,1150
1988,1,Round of 64,5,12,5_vs_12,0,1177,1455
1988,1,Round of 64,2,15,2_vs_15,0,1181,1131
1988,1,Round of 64,6,11,6_vs_11,0,1196,1385
1988,1,Round of 64,4,13,4_vs_13,0,1243,1247
1988,1,Round of 64,5,12,5_vs_12,0,1257,1333
1988,1,Round of 64,10,7,7_vs_10,1,1258,1461
1988,1,Round of 64,9,8,8_vs_9,0,1272,1124
1988,1,Round of 64,3,14,3_vs_14,0,1276,1129
1988,1,Round of 64,2,15,2_vs_15,0,1314,1317
1988,1,Round of 64,1,16,1_vs_16,0,1328,1151
1988,1,Round of 64,1,16,1_vs_16,0,1345,1192
1988,1,Round of 64,11,6,6_vs_11,1,1348,1281
1988,1,Round of 64,7,10,7_vs_10,0,1374,1323
1988,1,Round of 64,3,14,3_vs_14,0,1393,1299
1988,1,Round of 64,1,16,1_vs_16,0,1112,1165
1988,1,Round of 64,8,9,8_vs_9,0,1207,1261
1988,1,Round of 64,5,12,5_vs_12,0,1210,1235
1988,1,Round of 64,3,14,3_vs_14,0,1228,1427
1988,1,Round of 64,5,12,5_vs_12,0,1234,1199
1988,1,Round of 64,6,11,6_vs_11,0,1242,1462
1988,1,Round of 64,2,15,2_vs_15,0,1246,1380
1988,1,Round of 64,7,10,7_vs_10,0,1268,1364
1988,1,Round of 64,14,3,3_vs_14,1,1293,1301
1988,1,Round of 64,2,15,2_vs_15,0,1338,1185
1988,1,Round of 64,13,4,4_vs_13,1,1350,1231
1988,1,Round of 64,8,9,8_vs_9,0,1371,1431
1988,1,Round of 64,1,16,1_vs_16,0,1396,1250
1988,1,Round of 64,4,13,4_vs_13,0,1424,1283
1988,1,Round of 64,7,10,7_vs_10,0,1435,1429
1988,1,Round of 64,6,11,6_vs_11,0,1437,1116
1988,2,Round of 32,2,7,2_vs_7,0,1181,1374
1988,2,Round of 32,4,5,4_vs_5,0,1243,1177
1988,2,Round of 32,5,4,4_vs_5,1,1257,1140
1988,2,Round of 32,3,6,3_vs_6,0,1276,1196
1988,2,Round of 32,2,10,2_vs_10,0,1314,1258
1988,2,Round of 32,1,8,1_vs_8,0,1328,1120
1988,2,Round of 32,1,9,1_vs_9,0,1345,1272
1988,2,Round of 32,11,3,3_vs_11,1,1348,1393
1988,2,Round of 32,1,8,1_vs_8,0,1112,1371
1988,2,Round of 32,5,4,4_vs_5,1,1234,1424
1988,2,Round of 32,6,14,6_vs_14,0,1242,1293
1988,2,Round of 32,2,7,2_vs_7,0,1246,1268
1988,2,Round of 32,13,5,5_vs_13,1,1350,1210
1988,2,Round of 32,1,8,1_vs_8,0,1396,1207
1988,2,Round of 32,7,2,2_vs_7,1,1435,1338
1988,2,Round of 32,6,3,3_vs_6,1,1437,1228
1988,3,Sweet 16,2,11,2_vs_11,0,1181,1348
1988,3,Sweet 16,1,5,1_vs_5,0,1328,1257
1988,3,Sweet 16,1,13,1_vs_13,0,1396,1350
1988,3,Sweet 16,6,2,2_vs_6,1,1437,1246
1988,3,Sweet 16,1,5,1_vs_5,0,1112,1234
1988,3,Sweet 16,6,7,6_vs_7,0,1242,1435
1988,3,Sweet 16,4,1,1_vs_4,1,1243,1345
1988,3,Sweet 16,2,3,2_vs_3,0,1314,1276
1988,4,Elite 8,2,1,1_vs_2,1,1181,1396
1988,4,Elite 8,1,6,1_vs_6,0,1328,1437
1988,4,Elite 8,1,2,1_vs_2,0,1112,1314
1988,4,Elite 8,6,4,4_vs_6,1,1242,1243
1988,5,Final Four,6,2,2_vs_6,1,1242,1181
1988,5,Final Four,1,1,1_vs_1,0,1328,1112
1988,6,Championship,6,1,1_vs_6,1,1242,1328
1989,1,Round of 64,1,16,1_vs_16,0,1112,1352
1989,1,Round of 64,5,12,5_vs_12,0,1116,1258
1989,1,Round of 64,9,8,8_vs_9,0,1123,1338
1989,1,Round of 64,9,8,8_vs_9,0,1155,1388
1989,1,Round of 64,12,5,5_vs_12,1,1177,1272
1989,1,Round of 64,2,15,2_vs_15,0,1181,1354
1989,1,Round of 64,1,16,1_vs_16,0,1228,1270
1989,1,Round of 64,9,8,8_vs_9,0,1256,1247
1989,1,Round of 64,4,13,4_vs_13,0,1257,1114
1989,1,Round of 64,11,6,6_vs_11,1,1278,1243
1989,1,Round of 64,13,4,4_vs_13,1,1292,1199
1989,1,Round of 64,1,16,1_vs_16,0,1328,1190
1989,1,Round of 64,14,3,3_vs_14,1,1373,1390
1989,1,Round of 64,4,13,4_vs_13,0,1424,1225
1989,1,Round of 64,5,12,5_vs_12,0,1438,1344
1989,1,Round of 64,7,10,7_vs_10,0,1452,1397
1989,1,Round of 64,10,7,7_vs_10,1,1161,1196
1989,1,Round of 64,11,6,6_vs_11,1,1191,1333
1989,1,Round of 64,1,16,1_vs_16,0,1207,1343
1989,1,Round of 64,2,15,2_vs_15,0,1231,1206
1989,1,Round of 64,4,13,4_vs_13,0,1234,1353
1989,1,Round of 64,3,14,3_vs_14,0,1276,1462
1989,1,Round of 64,3,14,3_vs_14,0,1281,1166
1989,1,Round of 64,5,12,5_vs_12,0,1301,1376
1989,1,Round of 64,2,15,2_vs_15,0,1314,1380
1989,1,Round of 64,9,8,8_vs_9,0,1323,1435
1989,1,Round of 64,3,14,3_vs_14,0,1371,1283
1989,1,Round of 64,11,6,6_vs_11,1,1375,1104
1989,1,Round of 64,2,15,2_vs_15,0,1393,1137
1989,1,Round of 64,11,6,6_vs_11,1,1400,1210
1989,1,Round of 64,7,10,7_vs_10,0,1417,1235
1989,1,Round of 64,7,10,7_vs_10,0,1431,1261
1989,2,Round of 32,1,9,1_vs_9,0,1112,1155
1989,2,Round of 32,2,7,2_vs_7,0,1181,1452
1989,2,Round of 32,1,9,1_vs_9,0,1228,1123
1989,2,Round of 32,4,5,4_vs_5,0,1257,1116
1989,2,Round of 32,11,14,11_vs_14,0,1278,1373
1989,2,Round of 32,1,9,1_vs_9,0,1328,1256
1989,2,Round of 32,4,12,4_vs_12,0,1424,1177
1989,2,Round of 32,5,13,5_vs_13,0,1438,1292
1989,2,Round of 32,1,9,1_vs_9,0,1207,1323
1989,2,Round of 32,2,7,2_vs_7,0,1231,1431
1989,2,Round of 32,3,11,3_vs_11,0,1276,1375
1989,2,Round of 32,3,11,3_vs_11,0,1281,1400
1989,2,Round of 32,5,4,4_vs_5,1,1301,1234
1989,2,Round of 32,2,7,2_vs_7,0,1314,1417
1989,2,Round of 32,3,11,3_vs_11,0,1371,1191
1989,2,Round of 32,2,10,2_vs_10,0,1393,1161
1989,3,Sweet 16,3,2,2_vs_3,1,1276,1314
1989,3,Sweet 16,3,2,2_vs_3,1,1371,1231
1989,3,Sweet 16,4,1,1_vs_4,1,1424,1112
1989,3,Sweet 16,5,1,1_vs_5,1,1438,1328
1989,3,Sweet 16,2,11,2_vs_11,0,1181,1278
1989,3,Sweet 16,1,5,1_vs_5,0,1207,1301
1989,3,Sweet 16,1,4,1_vs_4,0,1228,1257
1989,3,Sweet 16,2,3,2_vs_3,0,1393,1281
1989,4,Elite 8,3,5,3_vs_5,0,1276,1438
1989,4,Elite 8,3,4,3_vs_4,0,1371,1424
1989,4,Elite 8,2,1,1_vs_2,1,1181,1207
1989,4,Elite 8,1,2,1_vs_2,0,1228,1393
1989,5,Final Four,3,1,1_vs_3,1,1276,1228
1989,5,Final Four,3,2,2_vs_3,1,1371,1181
1989,6,Championship,3,3,3_vs_3,0,1276,1371
1990,1,Round of 64,4,13,4_vs_13,0,1116,1343
1990,1,Round of 64,12,5,5_vs_12,1,1123,1333
1990,1,Round of 64,9,8,8_vs_9,0,1143,1231
1990,1,Round of 64,5,12,5_vs_12,0,1155,1140
1990,1,Round of 64,1,16,1_vs_16,0,1163,1131
1990,1,Round of 64,12,5,5_vs_12,1,1173,1228
1990,1,Round of 64,4,13,4_vs_13,0,1210,1190
1990,1,Round of 64,4,13,4_vs_13,0,1247,1379
1990,1,Round of 64,4,13,4_vs_13,0,1257,1225
1990,1,Round of 64,5,12,5_vs_12,0,1261,1437
1990,1,Round of 64,1,16,1_vs_16,0,1277,1293
1990,1,Round of 64,8,9,8_vs_9,0,1314,1283
1990,1,Round of 64,8,9,8_vs_9,0,1326,1344
1990,1,Round of 64,1,16,1_vs_16,0,1328,1406
1990,1,Round of 64,9,8,8_vs_9,0,1364,1222
1990,1,Round of 64,1,16,1_vs_16,0,1424,1114
1990,1,Round of 64,7,10,7_vs_10,0,1104,1161
1990,1,Round of 64,2,15,2_vs_15,0,1112,1378
1990,1,Round of 64,3,14,3_vs_14,0,1181,1350
1990,1,Round of 64,3,14,3_vs_14,0,1207,1411
1990,1,Round of 64,2,15,2_vs_15,0,1242,1352
1990,1,Round of 64,11,6,6_vs_11,1,1258,1308
1990,1,Round of 64,3,14,3_vs_14,0,1276,1229
1990,1,Round of 64,6,11,6_vs_11,0,1278,1431
1990,1,Round of 64,14,3,3_vs_14,1,1320,1281
1990,1,Round of 64,2,15,2_vs_15,0,1345,1419
1990,1,Round of 64,6,11,6_vs_11,0,1385,1396
1990,1,Round of 64,2,15,2_vs_15,0,1393,1164
1990,1,Round of 64,10,7,7_vs_10,1,1400,1208
1990,1,Round of 64,7,10,7_vs_10,0,1417,1412
1990,1,Round of 64,7,10,7_vs_10,0,1438,1323
1990,1,Round of 64,6,11,6_vs_11,0,1462,1243
1990,2,Round of 32,4,12,4_vs_12,0,1116,1173
1990,2,Round of 32,12,4,4_vs_12,1,1123,1257
1990,2,Round of 32,5,4,4_vs_5,1,1155,1247
1990,2,Round of 32,1,9,1_vs_9,0,1163,1143
1990,2,Round of 32,4,5,4_vs_5,0,1210,1261
1990,2,Round of 32,1,9,1_vs_9,0,1277,1364
1990,2,Round of 32,8,1,1_vs_8,1,1314,1328
1990,2,Round of 32,1,8,1_vs_8,0,1424,1326
1990,2,Round of 32,7,2,2_vs_7,1,1104,1112
1990,2,Round of 32,3,6,3_vs_6,0,1181,1385
1990,2,Round of 32,11,3,3_vs_11,1,1258,1276
1990,2,Round of 32,6,14,6_vs_14,0,1278,1320
1990,2,Round of 32,2,7,2_vs_7,0,1393,1438
1990,2,Round of 32,10,2,2_vs_10,1,1400,1345
1990,2,Round of 32,7,2,2_vs_7,1,1417,1242
1990,2,Round of 32,6,3,3_vs_6,1,1462,1207
1990,3,Sweet 16,4,8,4_vs_8,0,1116,1314
1990,3,Sweet 16,1,5,1_vs_5,0,1163,1155
1990,3,Sweet 16,3,7,3_vs_7,0,1181,1417
1990,3,Sweet 16,10,6,6_vs_10,1,1400,1462
1990,3,Sweet 16,4,1,1_vs_4,1,1210,1277
1990,3,Sweet 16,11,7,7_vs_11,1,1258,1104
1990,3,Sweet 16,6,2,2_vs_6,1,1278,1393
1990,3,Sweet 16,1,12,1_vs_12,0,1424,1123
1990,4,Elite 8,4,10,4_vs_10,0,1116,1400
1990,4,Elite 8,3,1,1_vs_3,1,1181,1163
1990,4,Elite 8,4,6,4_vs_6,0,1210,1278
1990,4,Elite 8,1,11,1_vs_11,0,1424,1258
1990,5,Final Four,3,4,3_vs_4,0,1181,1116
1990,5,Final Four,1,4,1_vs_4,0,1424,1210
1990,6,Championship,1,3,1_vs_3,0,1424,1181
1991,1,Round of 64,2,15,2_vs_15,0,1112,1384
1991,1,Round of 64,10,7,7_vs_10,1,1140,1438
1991,1,Round of 64,11,6,6_vs_11,1,1163,1261
1991,1,Round of 64,11,6,6_vs_11,1,1166,1308
1991,1,Round of 64,2,15,2_vs_15,0,1181,1419
1991,1,Round of 64,7,10,7_vs_10,0,1199,1425
1991,1,Round of 64,2,15,2_vs_15,0,1231,1157
1991,1,Round of 64,7,10,7_vs_10,0,1234,1190
1991,1,Round of 64,3,14,3_vs_14,0,1242,1309
1991,1,Round of 64,6,11,6_vs_11,0,1301,1379
1991,1,Round of 64,3,14,3_vs_14,0,1329,1307
1991,1,Round of 64,6,11,6_vs_11,0,1338,1208
1991,1,Round of 64,15,2,2_vs_15,1,1350,1393
1991,1,Round of 64,3,14,3_vs_14,0,1371,1337
1991,1,Round of 64,10,7,7_vs_10,1,1396,1345
1991,1,Round of 64,14,3,3_vs_14,1,1462,1304
1991,1,Round of 64,4,13,4_vs_13,0,1104,1293
1991,1,Round of 64,8,9,8_vs_9,0,1113,1353
1991,1,Round of 64,1,16,1_vs_16,0,1116,1209
1991,1,Round of 64,12,5,5_vs_12,1,1185,1280
1991,1,Round of 64,8,9,8_vs_9,0,1207,1435
1991,1,Round of 64,8,9,8_vs_9,0,1210,1177
1991,1,Round of 64,5,12,5_vs_12,0,1277,1453
1991,1,Round of 64,1,16,1_vs_16,0,1314,1318
1991,1,Round of 64,1,16,1_vs_16,0,1326,1406
1991,1,Round of 64,13,4,4_vs_13,1,1336,1417
1991,1,Round of 64,4,13,4_vs_13,0,1385,1296
1991,1,Round of 64,5,12,5_vs_12,0,1400,1389
1991,1,Round of 64,1,16,1_vs_16,0,1424,1285
1991,1,Round of 64,4,13,4_vs_13,0,1428,1375
1991,1,Round of 64,9,8,8_vs_9,0,1437,1343
1991,1,Round of 64,5,12,5_vs_12,0,1448,1256
1991,2,Round of 32,2,10,2_vs_10,0,1112,1140
1991,2,Round of 32,11,14,11_vs_14,0,1163,1462
1991,2,Round of 32,2,7,2_vs_7,0,1181,1234
1991,2,Round of 32,2,7,2_vs_7,0,1231,1199
1991,2,Round of 32,3,6,3_vs_6,0,1242,1338
1991,2,Round of 32,3,6,3_vs_6,0,1329,1301
1991,2,Round of 32,3,11,3_vs_11,0,1371,1166
1991,2,Round of 32,10,15,10_vs_15,0,1396,1350
1991,2,Round of 32,4,5,4_vs_5,0,1104,1448
1991,2,Round of 32,1,8,1_vs_8,0,1116,1113
1991,2,Round of 32,12,13,12_vs_13,0,1185,1336
1991,2,Round of 32,1,9,1_vs_9,0,1314,1437
1991,2,Round of 32,1,8,1_vs_8,0,1326,1210
1991,2,Round of 32,4,5,4_vs_5,0,1385,1400
1991,2,Round of 32,1,8,1_vs_8,0,1424,1207
1991,2,Round of 32,4,5,4_vs_5,0,1428,1277
1991,3,Sweet 16,1,4,1_vs_4,0,1116,1104
1991,3,Sweet 16,3,2,2_vs_3,1,1242,1231
1991,3,Sweet 16,3,2,2_vs_3,1,1371,1112
1991,3,Sweet 16,1,4,1_vs_4,0,1424,1428
1991,3,Sweet 16,2,11,2_vs_11,0,1181,1163
1991,3,Sweet 16,1,12,1_vs_12,0,1314,1185
1991,3,Sweet 16,4,1,1_vs_4,1,1385,1326
1991,3,Sweet 16,10,3,3_vs_10,1,1396,1329
1991,4,Elite 8,3,1,1_vs_3,1,1242,1116
1991,4,Elite 8,1,3,1_vs_3,0,1424,1371
1991,4,Elite 8,2,4,2_vs_4,0,1181,1385
1991,4,Elite 8,1,10,1_vs_10,0,1314,1396
1991,5,Final Four,2,1,1_vs_2,1,1181,1424
1991,5,Final Four,3,1,1_vs_3,1,1242,1314
1991,6,Championship,2,3,2_vs_3,0,1181,1242
1992,1,Round of 64,5,12,5_vs_12,0,1104,1390
1992,1,Round of 64,3,14,3_vs_14,0,1116,1293
1992,1,Round of 64,9,8,8_vs_9,0,1163,1304
1992,1,Round of 64,1,16,1_vs_16,0,1181,1144
1992,1,Round of 64,3,14,3_vs_14,0,1199,1285
1992,1,Round of 64,6,11,6_vs_11,0,1207,1378
1992,1,Round of 64,7,10,7_vs_10,0,1210,1222
1992,1,Round of 64,2,15,2_vs_15,0,1231,1183
1992,1,Round of 64,9,8,8_vs_9,0,1234,1400
1992,1,Round of 64,7,10,7_vs_10,0,1261,1140
1992,1,Round of 64,6,11,6_vs_11,0,1272,1337
1992,1,Round of 64,5,12,5_vs_12,0,1281,1452
1992,1,Round of 64,4,13,4_vs_13,0,1314,1275
1992,1,Round of 64,1,16,1_vs_16,0,1326,1290
1992,1,Round of 64,4,13,4_vs_13,0,1371,1247
1992,1,Round of 64,2,15,2_vs_15,0,1425,1419
1992,1,Round of 64,4,13,4_vs_13,0,1153,1174
1992,1,Round of 64,14,3,3_vs_14,1,1190,1112
1992,1,Round of 64,10,7,7_vs_10,1,1235,1150
1992,1,Round of 64,1,16,1_vs_16,0,1242,1224
1992,1,Round of 64,2,15,2_vs_15,0,1246,1330
1992,1,Round of 64,8,9,8_vs_9,0,1257,1448
